Format=7,XI-011844,,,Right Foot,,,,,,,,,,,XI-011908,,,TRIGGER,,,,,,,,,,,XI-011987,,,Lumbar,,,,,,,,,,,XI-012007,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1668006744446875,-1.143926,0.248813,10.326553,0.040837,0.144147,0.604079,-0.810354,12.090895,-62.542331,,0.377439,0.102540,0.028688,-0.919893,3.275378,1.286245,10.041144,-0.357520,-0.069183,-0.248428,-27.344597,-27.845057,-29.068785,,0.457536,0.166732,-0.020909,0.873168,-10.452912,0.308077,0.003686,0.337876,-0.604082,0.293547,43.792103,-26.441200,23.287532,,0.640243,-0.277094,0.653372,0.293962,-6.171809,-2.007874,7.368973,-0.016748,0.027945,0.030798,-11.263106,30.504345,-63.624973,,0.156345,0.313937,0.162278,-0.922316
1668006744454687,0.649274,0.109013,9.880653,0.076077,-0.082843,0.625029,-1.418754,12.457095,-61.827931,,0.415806,0.086353,0.024885,-0.905002,2.869578,1.697845,9.484944,-0.377380,0.021037,0.007752,-27.333997,-27.825157,-29.001885,,0.457063,0.166001,-0.021106,0.873551,-10.319212,0.302277,0.164086,0.311006,-0.731692,0.311257,43.824603,-26.448800,23.028032,,0.643292,-0.273450,0.651767,0.294279,-6.136009,-2.058774,7.408673,-0.001488,0.020535,0.040098,-11.255206,30.567345,-63.594673,,0.156220,0.313747,0.162694,-0.922328
1668006744462500,2.081474,-0.343487,9.474953,0.109267,-0.271173,0.629139,-2.039354,12.770695,-61.175231,,0.483443,0.059292,0.017932,-0.873182,2.516078,2.321745,8.531444,-0.349420,0.074587,-0.007938,-27.254897,-27.643457,-29.078085,,0.449633,0.165592,-0.011959,0.877648,-10.087712,0.292977,0.280286,0.272846,-0.817242,0.337917,43.877603,-26.506400,22.835932,,0.646997,-0.269508,0.649570,0.294652,-6.136809,-2.033574,7.460673,0.010132,0.018605,0.050028,-11.224906,30.532745,-63.569873,,0.155359,0.313013,0.163353,-0.922607
1668006744470312,2.821574,-0.874087,9.158453,0.170137,-0.458163,0.625859,-2.780154,13.103995,-60.513331,,0.554619,0.032797,0.009419,-0.831405,2.017178,2.422945,8.098044,-0.390710,-0.134883,-0.015228,-27.329497,-27.491057,-29.079385,,0.441083,0.168116,-0.001327,0.881578,-9.857012,0.315677,0.370386,0.242856,-0.821022,0.367167,44.016003,-26.546500,22.576432,,0.650308,-0.266070,0.647404,0.295254,-6.117909,-2.032274,7.393373,0.020252,0.020985,0.059708,-11.139506,30.469645,-63.624973,,0.155262,0.312297,0.163350,-0.922866
1668006744478125,3.704174,-1.137187,8.865453,0.256907,-0.687423,0.600139,-3.669554,13.410195,-59.833331,,0.621401,0.008933,-0.000510,-0.783441,1.903878,2.234845,7.950744,-0.428430,-0.356843,-0.052028,-27.414897,-27.480457,-29.070385,,0.432486,0.169551,0.008057,0.885519,-9.687312,0.352277,0.440686,0.227306,-0.779852,0.397327,44.080903,-26.551100,22.270732,,0.653164,-0.262868,0.645469,0.296054,-6.059209,-2.087474,7.415773,0.036722,0.020295,0.072218,-11.118906,30.469645,-63.655273,,0.155318,0.312022,0.163209,-0.922975
1668006744485937,4.788674,-1.229187,8.602553,0.330117,-0.944973,0.532129,-4.633754,13.573695,-59.193931,,0.684521,-0.012089,-0.013130,-0.728775,1.607078,1.919745,8.097244,-0.391600,-0.581903,-0.121138,-27.498997,-27.364257,-28.907085,,0.425448,0.170774,0.014863,0.888599,-9.593812,0.351077,0.463886,0.215956,-0.725832,0.421017,44.133903,-26.611600,22.055132,,0.655640,-0.259748,0.643814,0.296936,-6.088709,-2.065874,7.449273,0.052542,0.022185,0.086478,-11.147406,30.469645,-63.680173,,0.155258,0.311727,0.163096,-0.923104
1668006744493750,5.405874,-1.332487,8.471053,0.373267,-1.209313,0.435099,-5.808454,13.723895,-58.491531,,0.744046,-0.030454,-0.029470,-0.666783,1.729378,1.701945,8.260944,-0.355810,-0.613823,-0.124238,-27.574897,-27.124857,-28.897885,,0.419378,0.170735,0.019688,0.891394,-9.532712,0.303977,0.418486,0.208186,-0.664172,0.436937,44.166403,-26.648800,21.819032,,0.657715,-0.256871,0.642412,0.297884,-6.058909,-2.065374,7.418573,0.065562,0.024875,0.105598,-11.054006,30.439345,-63.624973,,0.155348,0.311485,0.162905,-0.923205
1668006744501562,5.512174,-1.537087,8.342453,0.386917,-1.498933,0.336739,-7.062054,13.967095,-57.806931,,0.795228,-0.045765,-0.048877,-0.602601,2.223878,1.349445,8.558144,-0.221980,-0.526833,-0.037748,-27.661997,-27.124857,-28.801785,,0.414500,0.170118,0.023110,0.893709,-9.441412,0.280777,0.352786,0.204166,-0.596122,0.447507,44.219403,-26.709300,21.603432,,0.659329,-0.254437,0.641255,0.298898,-5.915509,-2.188174,7.460273,0.087822,0.026905,0.133438,-10.998906,30.384245,-63.655273,,0.155504,0.311359,0.162574,-0.923279
1668006744509375,5.613474,-1.755987,8.133953,0.378537,-1.827673,0.251529,-8.455554,14.187795,-57.159931,,0.834707,-0.058231,-0.069861,-0.543133,2.481278,1.468745,8.771544,-0.118920,-0.483313,0.038762,-27.689797,-27.114257,-28.629285,,0.411390,0.169735,0.024714,0.895174,-9.346712,0.242877,0.314486,0.202286,-0.523622,0.448767,44.138303,-26.799400,21.480832,,0.660497,-0.252438,0.640362,0.299926,-5.966209,-2.191874,7.481573,0.111802,0.038035,0.160318,-10.968606,30.379945,-63.745073,,0.155603,0.311163,0.162216,-0.923391
