Format=7,XI-011844,,,Right Foot,,,,,,,,,,,XI-011908,,,TRIGGER,,,,,,,,,,,XI-011987,,,Lumbar,,,,,,,,,,,XI-012007,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1668006765881640,-5.917341,0.069993,7.846882,0.026138,-0.004844,0.016523,-32.128454,-1.820655,-87.952861,,0.007553,-0.317823,0.006496,0.948098,0.341986,4.640676,8.125739,0.115930,0.232731,0.706780,-27.202867,-16.496095,-34.424831,,0.030792,0.028891,-0.246725,-0.968166,-9.753745,-0.551574,-0.631427,-0.033997,-0.131383,-0.002030,36.777627,-24.451410,24.192953,,0.626701,-0.330034,0.650660,0.273798,-6.274546,-1.672324,7.348802,0.008556,0.000000,0.007478,-18.494342,25.122811,-79.934024,,0.084446,0.332432,0.121685,-0.931424
1668006765889452,-5.901941,0.073993,7.873782,0.023998,-0.005274,0.014673,-32.105154,-1.731955,-87.906961,,0.007292,-0.317672,0.006454,0.948151,0.239886,4.298176,7.982239,0.097120,0.284831,0.870440,-27.172767,-16.377495,-34.499031,,0.042122,0.018009,-0.250509,-0.967030,-9.760345,-0.528274,-0.622627,-0.024007,-0.129063,-0.008350,36.772027,-24.451410,24.148353,,0.626975,-0.329841,0.650369,0.274094,-6.262346,-1.647924,7.312302,0.013896,-0.003208,0.010688,-18.579642,25.122811,-79.934224,,0.084472,0.332430,0.121621,-0.931431
1668006765897265,-5.887241,0.116293,7.873782,0.021018,-0.001284,0.013323,-32.239754,-1.686055,-87.978761,,0.007130,-0.317191,0.006382,0.948313,-0.004814,4.091476,8.076839,-0.038030,0.534381,1.030380,-27.139967,-16.129495,-34.587431,,0.048807,0.011890,-0.250497,-0.966814,-9.781445,-0.547074,-0.625927,-0.009827,-0.120523,-0.009230,36.827227,-24.454710,24.169853,,0.627299,-0.329051,0.650399,0.274230,-6.225746,-1.611324,7.324502,0.017096,-0.007488,0.014948,-18.579642,25.122711,-80.019224,,0.084736,0.332671,0.121354,-0.931355
1668006765905077,-5.902641,0.114893,7.867282,0.015958,0.001636,0.010333,-32.217054,-1.780555,-87.978761,,0.006841,-0.316836,0.006672,0.948432,0.016086,4.167076,7.941739,-0.052520,0.671881,1.093050,-27.127767,-15.935095,-34.682231,,0.050862,0.010722,-0.248173,-0.967321,-9.806845,-0.583674,-0.628127,0.005703,-0.114003,-0.002150,36.928627,-24.460310,24.036353,,0.627455,-0.328972,0.650154,0.274552,-6.225646,-1.574724,7.373302,0.021366,-0.011748,0.012818,-18.579542,25.037511,-79.836424,,0.085168,0.332505,0.120946,-0.931428
1668006765912890,-5.917341,0.070793,7.846082,0.011688,0.003766,0.005563,-32.154254,-1.820655,-87.978761,,0.006626,-0.316671,0.006942,0.948487,-0.696114,3.921076,8.136439,-0.027560,0.628051,1.041210,-27.050667,-15.689995,-34.844731,,0.053192,0.010948,-0.246448,-0.967634,-9.854645,-0.603774,-0.610327,0.022793,-0.114963,0.011340,36.839827,-24.451410,24.059553,,0.627667,-0.328973,0.649899,0.274668,-6.164846,-1.574824,7.385502,0.020296,-0.011748,0.012818,-18.482142,25.122811,-79.848824,,0.085872,0.332186,0.120519,-0.931533
1668006765920702,-5.901941,0.097693,7.837182,0.007128,0.005906,0.002353,-32.154254,-1.780555,-87.952861,,0.006562,-0.316668,0.007004,0.948488,-1.651114,3.694076,8.558639,0.011650,0.651591,0.980020,-26.952967,-15.486395,-35.018631,,0.054229,0.013287,-0.244508,-0.968039,-9.853645,-0.579374,-0.607027,0.037853,-0.124263,0.030360,36.818327,-24.451410,24.121853,,0.628013,-0.328823,0.649647,0.274655,-6.201446,-1.611224,7.422002,0.018146,-0.011748,0.011748,-18.579642,25.122511,-79.934024,,0.086426,0.331729,0.120141,-0.931693
1668006765928515,-5.896941,0.087993,7.827482,0.002358,0.008606,-0.000287,-32.131654,-1.820655,-87.906961,,0.006551,-0.316710,0.007053,0.948474,-2.102514,3.770576,8.778539,0.097080,0.666271,0.853080,-26.855367,-15.312495,-35.068931,,0.052837,0.017934,-0.242088,-0.968649,-9.813745,-0.564874,-0.591527,0.046023,-0.138173,0.049410,36.951827,-24.477910,24.098653,,0.628366,-0.328580,0.649390,0.274745,-6.262446,-1.513624,7.373202,0.010676,-0.009618,0.008538,-18.579642,24.939911,-79.921924,,0.086632,0.331327,0.119842,-0.931856
1668006765936327,-5.932841,0.060993,7.797282,0.000000,0.010616,-0.002197,-32.091454,-1.780555,-88.001361,,0.006523,-0.316766,0.007062,0.948455,-2.052314,3.966376,8.869339,0.144230,0.548051,0.641860,-26.757667,-15.206495,-35.071831,,0.049835,0.023611,-0.239686,-0.969283,-9.768245,-0.573774,-0.573727,0.050003,-0.138583,0.060490,36.951827,-24.525910,24.036353,,0.628685,-0.328311,0.649135,0.274938,-6.298946,-1.489324,7.361102,0.008536,-0.009618,0.003198,-18.579842,25.037411,-79.934024,,0.087000,0.331103,0.119555,-0.931938
1668006765944140,-5.939241,0.054593,7.797982,-0.000852,0.006906,-0.005907,-32.154254,-1.843355,-88.041561,,0.006597,-0.316871,0.007043,0.948419,-1.856614,3.960576,8.914839,0.098930,0.409961,0.396540,-26.669267,-15.121095,-35.201731,,0.046337,0.029292,-0.237425,-0.969858,-9.744845,-0.557174,-0.577027,0.053213,-0.120843,0.064870,36.951827,-24.463610,24.009853,,0.628994,-0.327968,0.648958,0.275060,-6.262346,-1.513824,7.409902,0.001066,-0.010678,-0.001072,-18.664842,25.037411,-79.922024,,0.087390,0.331019,0.119282,-0.931966
1668006765951952,-5.953941,0.026893,7.824982,-0.004052,0.004776,-0.007757,-32.154254,-1.843355,-87.978761,,0.006693,-0.316998,0.006988,0.948377,-1.816014,3.840976,9.062739,0.002730,0.318891,0.187990,-26.704367,-15.026395,-35.316931,,0.042720,0.034484,-0.235102,-0.970419,-9.757045,-0.502774,-0.602527,0.055543,-0.092763,0.061770,36.951827,-24.463610,23.938753,,0.629212,-0.327687,0.648837,0.275181,-6.250246,-1.562624,7.409802,-0.001074,-0.008548,-0.005342,-18.494342,25.025211,-80.019524,,0.087720,0.330950,0.119040,-0.931991
1668006765959765,-5.941741,0.009693,7.824982,-0.006412,0.002636,-0.008257,-32.154254,-1.820655,-88.001361,,0.006806,-0.317122,0.006893,0.948335,-1.503614,3.790176,9.041839,-0.051640,0.294471,0.047680,-26.731267,-15.077095,-35.405331,,0.038897,0.039178,-0.232720,-0.970976,-9.775845,-0.469474,-0.656927,0.054383,-0.079133,0.051780,36.951827,-24.486810,23.938753,,0.629373,-0.327410,0.648777,0.275283,-6.274546,-1.586924,7.373302,-0.004274,-0.007478,-0.006412,-18.579542,25.025211,-80.019224,,0.087966,0.330880,0.118864,-0.932015
1668006765967577,-5.936041,0.043093,7.824982,-0.006412,0.000786,-0.007477,-32.131654,-1.757855,-88.041561,,0.006910,-0.317230,0.006768,0.948299,-1.005114,3.849176,8.882139,-0.070620,0.276441,-0.058120,-26.595067,-15.100595,-35.425931,,0.035099,0.043232,-0.230425,-0.971496,-9.802545,-0.458274,-0.680327,0.051563,-0.084273,0.037310,36.975027,-24.549110,23.938753,,0.629495,-0.327182,0.648720,0.275411,-6.237946,-1.562624,7.385402,-0.005334,-0.006408,-0.005342,-18.494342,25.037211,-79.836724,,0.088177,0.330838,0.118760,-0.932023
1668006765975390,-5.935341,0.060993,7.831382,-0.007262,0.000846,-0.008047,-32.091454,-1.780555,-88.001361,,0.007021,-0.317326,0.006650,0.948267,-0.656414,3.786276,8.689839,-0.093990,0.193421,-0.140660,-26.486167,-15.100595,-35.490831,,0.031574,0.046295,-0.228295,-0.971978,-9.802545,-0.485974,-0.678027,0.052633,-0.090883,0.022450,37.060427,-24.549110,23.942053,,0.629609,-0.326973,0.648668,0.275519,-6.238046,-1.635824,7.324402,-0.003204,-0.007478,-0.003202,-18.592042,24.939911,-80.019324,,0.088273,0.330802,0.118640,-0.932042
1668006765983202,-5.914841,0.064293,7.852582,-0.010182,0.003486,-0.010747,-32.154254,-1.820655,-88.041561,,0.007143,-0.317417,0.006539,0.948237,-0.567414,3.574476,8.735539,-0.117440,0.099001,-0.177000,-26.400767,-15.035695,-35.446431,,0.028440,0.048339,-0.226317,-0.972438,-9.812445,-0.515974,-0.689227,0.054273,-0.095443,0.013600,37.073027,-24.572310,23.947653,,0.629725,-0.326791,0.648608,0.275611,-6.262446,-1.672324,7.324502,-0.001064,-0.010688,-0.002142,-18.664942,25.037411,-79.921724,,0.088357,0.330769,0.118590,-0.932052
1668006765991015,-5.929541,0.076493,7.855082,-0.013162,0.004836,-0.014167,-32.154254,-1.757855,-87.978761,,0.007234,-0.317489,0.006417,0.948212,-0.339014,3.645576,8.829839,-0.105800,0.098001,-0.178600,-26.306067,-14.950195,-35.425931,,0.025700,0.049841,-0.224496,-0.972861,-9.842445,-0.531574,-0.661427,0.058063,-0.102523,0.013110,36.966127,-24.611410,23.915553,,0.629843,-0.326639,0.648525,0.275719,-6.262346,-1.623524,7.348802,0.003206,-0.012828,-0.003202,-18.579642,25.037511,-79.836624,,0.088380,0.330749,0.118575,-0.932059
1668006765998827,-5.923841,0.091893,7.837182,-0.017372,0.006406,-0.015517,-32.176954,-1.780555,-87.978761,,0.007319,-0.317553,0.006295,0.948191,-0.370514,3.751576,8.692739,-0.101220,0.122521,-0.139180,-26.421567,-14.994595,-35.490831,,0.023397,0.050919,-0.222819,-0.973248,-9.858045,-0.559274,-0.624827,0.062533,-0.116593,0.015620,37.060427,-24.549110,23.830053,,0.629998,-0.326477,0.648402,0.275843,-6.250046,-1.611424,7.312302,0.005346,-0.017098,-0.001072,-18.579842,25.122711,-79.934024,,0.088411,0.330721,0.118572,-0.932066
1668006766006640,-5.923041,0.116293,7.837182,-0.019292,0.006696,-0.017937,-32.217054,-1.843355,-88.001361,,0.007417,-0.317610,0.006188,0.948172,-1.116814,3.716476,8.670639,-0.173690,0.158201,-0.063820,-26.326567,-15.015095,-35.511331,,0.021678,0.051742,-0.221040,-0.973650,-9.875745,-0.585974,-0.578327,0.064963,-0.136023,0.022610,37.099527,-24.549110,23.814153,,0.630217,-0.326275,0.648229,0.275990,-6.176946,-1.635924,7.361102,0.008546,-0.024568,-0.002132,-18.665142,25.037211,-79.921824,,0.088387,0.330681,0.118554,-0.932085
1668006766014452,-5.899441,0.131093,7.840382,-0.024132,0.008326,-0.021707,-32.154254,-1.820655,-88.041561,,0.007496,-0.317666,0.006074,0.948154,-1.481914,4.041876,8.642339,-0.215200,0.242331,-0.061640,-26.282567,-14.950195,-35.585531,,0.020242,0.052875,-0.219218,-0.974032,-9.882445,-0.592574,-0.518327,0.071063,-0.152533,0.032320,37.060427,-24.575610,23.892353,,0.630515,-0.325984,0.648030,0.276122,-6.164846,-1.696624,7.385502,0.009616,-0.023498,0.000000,-18.677442,24.939711,-79.921824,,0.088324,0.330633,0.118526,-0.932112
