Format=7,XI-011844,,,Right Foot,,,,,,,,,,,XI-011908,,,TRIGGER,,,,,,,,,,,XI-011987,,,Lumbar,,,,,,,,,,,XI-012007,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1668006800845703,-6.616519,-0.419177,7.434382,-0.111096,0.076559,-0.190124,-19.934671,22.758705,-20.874653,,0.297179,0.331335,0.138588,-0.884701,1.104234,2.508821,9.749407,0.065086,-0.937324,0.057163,-29.254084,-21.373213,-30.478760,,0.228698,0.085055,0.108700,0.963663,-10.221812,0.398173,0.517095,0.139301,-0.410551,0.006426,39.873368,-27.906123,17.427124,,0.639675,-0.295161,0.623330,0.339345,-6.623762,-1.542894,7.182884,-0.524869,0.534689,-0.169381,-10.362176,35.876869,-68.793901,,0.196182,0.335148,0.157441,-0.907965
1668006800853515,-6.587919,-0.276777,7.434282,-0.094356,0.071919,-0.185154,-19.991671,22.787105,-20.874653,,0.297148,0.330789,0.138042,-0.885001,0.888734,2.485921,9.776607,0.053746,-0.720954,-0.046557,-29.421384,-21.349213,-30.305860,,0.228586,0.086853,0.108409,0.963562,-10.229812,0.316973,0.487895,0.152101,-0.410871,0.011066,39.811868,-27.848623,17.305424,,0.641126,-0.295281,0.621766,0.339372,-6.640762,-1.625894,7.138984,-0.537889,0.554749,-0.188161,-10.081376,36.204269,-68.627901,,0.196002,0.336360,0.160305,-0.907054
1668006800861328,-6.775019,-0.325477,7.413982,-0.089366,0.077969,-0.177314,-20.020171,22.758705,-20.874653,,0.297552,0.330620,0.136589,-0.885153,0.928134,2.530821,9.655707,0.080736,-0.602504,-0.145057,-29.506884,-21.291313,-30.122760,,0.227378,0.083940,0.108943,0.964046,-10.205212,0.292973,0.472095,0.161701,-0.410171,0.020006,39.907068,-27.820723,17.216024,,0.642124,-0.296198,0.620285,0.339395,-6.667762,-1.742994,7.112084,-0.553699,0.580389,-0.211881,-9.839476,36.438769,-68.537201,,0.195008,0.337570,0.163445,-0.906258
1668006800869140,-6.754819,-0.419077,7.291982,-0.080116,0.069439,-0.178024,-20.020171,22.730205,-20.809653,,0.297589,0.331293,0.135990,-0.884981,0.854934,2.563121,9.387907,0.060236,-0.498634,-0.183507,-29.578584,-21.362913,-29.955460,,0.226894,0.083340,0.109635,0.964133,-10.201412,0.325773,0.434995,0.168801,-0.400831,0.029246,39.909568,-27.763223,17.122324,,0.642755,-0.296967,0.619188,0.339533,-6.696762,-1.894294,7.065884,-0.562279,0.604519,-0.232611,-9.651576,36.728769,-68.481401,,0.193585,0.338949,0.166748,-0.905447
1668006800876953,-6.604319,-0.374377,7.198282,-0.063746,0.059819,-0.177314,-20.020171,22.730205,-20.842053,,0.297204,0.332142,0.136232,-0.884755,0.799434,2.630521,9.318607,0.018676,-0.457024,-0.218867,-29.592284,-21.347213,-29.854160,,0.226226,0.083173,0.110572,0.964198,-10.238212,0.374673,0.373995,0.173061,-0.379041,0.039226,39.881568,-27.677723,17.032924,,0.643205,-0.297316,0.618453,0.339714,-6.762862,-2.043294,7.011884,-0.556729,0.627819,-0.246941,-9.495076,37.141569,-68.356701,,0.191992,0.340309,0.170298,-0.904615
1668006800884765,-6.661119,-0.382477,7.161682,-0.049146,0.051989,-0.174114,-20.020171,22.795205,-20.809653,,0.296888,0.332772,0.136608,-0.884567,0.893034,2.655321,9.271707,-0.011914,-0.520934,-0.240327,-29.677784,-21.251513,-29.686860,,0.225249,0.083404,0.111563,0.964292,-10.295312,0.423473,0.370395,0.173391,-0.358441,0.050626,39.889768,-27.584123,16.881824,,0.643398,-0.297466,0.618004,0.340035,-6.738562,-2.167794,7.004684,-0.552659,0.647259,-0.250811,-9.290576,37.427569,-68.244601,,0.190100,0.341881,0.173955,-0.903725
1668006800892578,-6.722219,-0.345877,7.096582,-0.032766,0.037039,-0.166634,-20.085171,22.762805,-20.842053,,0.296459,0.333343,0.136923,-0.884447,1.277834,2.587221,9.227207,-0.048344,-0.606054,-0.273957,-29.765184,-21.193613,-29.585660,,0.224487,0.084302,0.112287,0.964308,-10.372712,0.496973,0.394895,0.172321,-0.354641,0.063816,39.885568,-27.617823,16.698624,,0.643445,-0.297498,0.617640,0.340580,-6.721262,-2.209694,6.943784,-0.551179,0.670319,-0.248451,-8.997176,37.649569,-68.078501,,0.188130,0.343445,0.177618,-0.902832
1668006800900390,-6.685619,-0.366177,7.068082,-0.023856,0.025999,-0.152754,-20.117771,22.673205,-20.809553,,0.295973,0.333976,0.137169,-0.884333,1.570834,2.388721,9.161407,-0.091404,-0.657454,-0.307867,-29.858884,-21.249613,-29.402560,,0.224623,0.086238,0.112380,0.964094,-10.408912,0.549573,0.386395,0.175561,-0.368621,0.077696,39.881568,-27.592323,16.581224,,0.643557,-0.297196,0.617338,0.341178,-6.828462,-2.279794,6.807184,-0.549239,0.692559,-0.247811,-8.775276,37.959469,-67.953901,,0.186266,0.345017,0.181216,-0.901903
1668006800908203,-6.681519,-0.480077,7.214482,-0.018156,0.022079,-0.136014,-20.117771,22.644705,-20.720053,,0.295581,0.334582,0.137405,-0.884198,1.572034,2.374121,9.184307,-0.107124,-0.695634,-0.333017,-29.949884,-21.167613,-29.221360,,0.225488,0.089025,0.111796,0.963707,-10.429312,0.577973,0.386595,0.183781,-0.393591,0.094456,39.881568,-27.564323,16.487524,,0.643773,-0.296569,0.617072,0.341795,-6.887662,-2.494894,6.699384,-0.550309,0.706669,-0.243981,-8.499276,38.245469,-67.914601,,0.184462,0.346770,0.184735,-0.900887
